edad,antiguedad_cliente,siniestros_ult_3_anios,tipo_vehiculo,uso_vehiculo,zona_residencia,tiene_garage,riesgo_asegurado
62,4,1,moto,particular,urbana,si,bajo
35,0,4,camioneta,comercial,rural,si,medio
64,5,1,moto,particular,urbana,no,medio
70,5,1,auto,comercial,rural,no,medio
41,15,3,moto,comercial,suburbana,no,medio
43,3,1,camioneta,particular,rural,si,bajo
42,10,1,camioneta,comercial,suburbana,si,bajo
62,8,2,auto,comercial,suburbana,si,bajo
58,2,1,moto,comercial,rural,no,medio
46,18,3,moto,comercial,suburbana,no,medio
32,7,2,moto,comercial,rural,no,medio
62,4,1,camioneta,particular,suburbana,si,bajo
18,3,4,auto,comercial,urbana,si,alto
42,5,2,moto,particular,urbana,no,medio
24,1,1,camioneta,particular,suburbana,si,bajo
26,19,3,camioneta,particular,suburbana,no,medio
41,10,1,camioneta,particular,rural,si,bajo
18,3,4,moto,particular,urbana,no,alto
61,14,0,moto,particular,rural,si,bajo
25,5,1,moto,comercial,suburbana,si,bajo
41,16,0,moto,comercial,suburbana,no,medio
28,5,1,moto,comercial,rural,no,medio
68,18,0,moto,particular,suburbana,no,medio
34,1,0,moto,comercial,urbana,no,medio
25,14,3,moto,comercial,rural,no,medio
52,10,1,moto,comercial,urbana,si,medio
52,7,1,camioneta,particular,urbana,no,medio
50,18,1,moto,comercial,urbana,no,medio
22,12,2,auto,particular,rural,no,medio
59,11,0,camioneta,comercial,suburbana,si,bajo
56,4,2,moto,particular,urbana,no,medio
58,5,1,auto,particular,urbana,no,medio
45,3,2,moto,particular,urbana,no,medio
24,18,0,auto,comercial,suburbana,si,medio
26,19,0,auto,comercial,suburbana,si,bajo
25,0,1,auto,particular,rural,no,bajo
29,19,1,auto,comercial,suburbana,si,bajo
51,16,4,camioneta,particular,rural,no,medio
50,11,2,camioneta,particular,rural,si,bajo
65,14,0,auto,comercial,rural,no,medio
72,0,2,moto,comercial,rural,si,medio
40,13,1,auto,comercial,rural,no,medio
41,5,3,camioneta,particular,urbana,no,medio
54,4,1,moto,particular,suburbana,si,bajo
52,10,0,camioneta,comercial,urbana,no,medio
61,3,1,camioneta,particular,rural,no,bajo
57,12,0,moto,comercial,suburbana,no,medio
39,10,1,auto,particular,urbana,no,medio
44,2,0,auto,comercial,urbana,si,medio
52,0,2,auto,comercial,rural,no,medio
18,5,2,auto,particular,urbana,si,medio
52,17,2,moto,comercial,urbana,si,medio
54,9,0,moto,comercial,urbana,si,medio
64,4,1,moto,particular,urbana,si,bajo
31,9,2,camioneta,comercial,urbana,no,medio
20,11,1,moto,particular,rural,no,medio
18,1,5,auto,comercial,rural,si,medio
22,12,2,camioneta,particular,urbana,no,medio
43,7,1,auto,comercial,rural,si,bajo
72,1,3,auto,comercial,rural,no,alto
31,19,3,moto,comercial,suburbana,no,medio
56,0,1,moto,comercial,urbana,no,medio
44,4,3,auto,particular,rural,si,bajo
26,8,0,auto,particular,rural,si,bajo
32,16,1,camioneta,particular,urbana,no,medio
32,8,0,moto,particular,suburbana,si,bajo
43,10,0,camioneta,particular,urbana,si,bajo
59,14,3,camioneta,particular,suburbana,no,medio
30,5,2,camioneta,particular,urbana,si,bajo
68,2,0,auto,comercial,urbana,no,alto
49,16,0,camioneta,comercial,urbana,no,medio
56,4,0,camioneta,comercial,urbana,no,medio
66,11,2,auto,comercial,suburbana,si,medio
69,17,0,moto,particular,suburbana,no,medio
49,13,0,moto,particular,rural,no,bajo
21,10,2,camioneta,particular,urbana,si,medio
47,8,2,auto,comercial,suburbana,si,bajo
54,1,0,moto,particular,suburbana,si,bajo
40,11,3,camioneta,comercial,suburbana,si,medio
56,2,0,camioneta,particular,urbana,no,medio
62,2,3,auto,particular,rural,si,bajo
32,0,3,camioneta,particular,suburbana,si,bajo
60,7,1,moto,particular,urbana,si,bajo
46,7,2,auto,comercial,suburbana,si,bajo
53,10,1,moto,comercial,suburbana,no,medio
30,8,3,moto,particular,rural,si,bajo
49,4,0,moto,comercial,suburbana,no,medio
24,13,0,camioneta,particular,suburbana,si,bajo
68,2,2,camioneta,particular,urbana,no,medio
39,4,4,moto,particular,urbana,no,medio
45,4,3,moto,particular,rural,si,bajo
19,18,2,auto,comercial,urbana,no,alto
59,13,3,auto,particular,urbana,si,medio
62,3,0,camioneta,particular,rural,no,bajo
74,12,0,camioneta,comercial,suburbana,no,medio
70,9,2,auto,particular,rural,no,medio
23,17,3,moto,comercial,urbana,si,alto
45,7,2,camioneta,particular,rural,no,bajo
45,7,3,moto,particular,suburbana,si,bajo
61,6,1,auto,particular,rural,no,bajo
61,7,1,camioneta,particular,urbana,no,medio
37,13,1,camioneta,particular,urbana,no,medio
47,18,1,auto,particular,rural,no,bajo
28,5,2,camioneta,comercial,suburbana,no,medio
72,0,3,auto,particular,rural,no,medio
45,14,2,camioneta,comercial,suburbana,si,bajo
42,0,0,auto,comercial,suburbana,si,bajo
56,16,1,camioneta,particular,rural,si,bajo
50,0,1,moto,comercial,suburbana,no,medio
18,14,2,moto,particular,urbana,si,medio
74,1,0,moto,comercial,rural,no,medio
44,13,3,camioneta,particular,suburbana,si,bajo
74,7,3,camioneta,comercial,urbana,si,alto
69,7,1,moto,comercial,rural,no,medio
30,18,1,moto,particular,urbana,no,medio
58,6,1,auto,comercial,urbana,si,medio
20,18,1,auto,particular,urbana,si,medio
56,5,2,auto,particular,suburbana,si,bajo
23,5,0,moto,particular,rural,si,bajo
25,2,2,moto,particular,rural,no,bajo
44,6,3,moto,particular,suburbana,si,bajo
26,18,2,auto,comercial,rural,no,medio
54,7,0,camioneta,comercial,urbana,no,medio
50,9,2,moto,comercial,rural,si,bajo
68,19,2,camioneta,particular,suburbana,no,medio
59,14,0,camioneta,comercial,urbana,si,medio
61,14,1,camioneta,comercial,suburbana,no,medio
41,0,0,auto,comercial,urbana,no,medio
32,19,0,camioneta,comercial,urbana,si,medio
71,6,5,moto,comercial,rural,no,alto
49,3,2,auto,particular,urbana,no,medio
49,5,2,moto,particular,suburbana,si,bajo
41,0,2,moto,comercial,rural,no,medio
58,4,1,auto,particular,suburbana,no,bajo
69,0,0,moto,particular,urbana,si,medio
66,3,0,moto,comercial,suburbana,si,medio
66,1,2,auto,comercial,suburbana,no,medio
69,9,2,moto,particular,urbana,no,medio
29,4,3,camioneta,comercial,rural,no,medio
56,9,2,moto,particular,suburbana,si,bajo
19,0,0,camioneta,particular,urbana,no,medio
20,5,0,moto,comercial,rural,no,medio
66,12,2,auto,particular,rural,no,medio
54,14,2,auto,particular,rural,no,bajo
66,3,1,moto,particular,suburbana,no,medio
73,12,3,auto,comercial,suburbana,no,alto
34,19,0,moto,comercial,suburbana,si,bajo
66,14,1,auto,comercial,rural,si,medio
19,7,2,camioneta,comercial,suburbana,no,medio
19,4,1,moto,particular,urbana,no,medio
45,14,2,camioneta,comercial,suburbana,si,bajo
71,3,1,camioneta,comercial,suburbana,si,medio
40,11,0,moto,comercial,rural,si,bajo
54,12,1,camioneta,comercial,suburbana,no,medio
49,1,1,moto,particular,urbana,no,medio
50,18,2,camioneta,particular,rural,no,bajo
18,18,4,moto,particular,urbana,no,alto
36,3,1,moto,comercial,rural,si,bajo
19,3,2,auto,comercial,rural,si,medio
70,10,1,moto,particular,suburbana,si,bajo
61,4,3,moto,comercial,urbana,si,medio
43,19,1,camioneta,comercial,rural,no,medio
49,10,0,moto,particular,suburbana,no,bajo
23,9,1,auto,particular,rural,si,bajo
49,7,3,camioneta,comercial,rural,si,medio
72,5,2,camioneta,comercial,rural,si,medio
21,5,2,auto,comercial,rural,si,medio
72,7,1,camioneta,particular,rural,si,bajo
28,14,0,camioneta,particular,rural,no,bajo
73,13,4,camioneta,particular,suburbana,no,medio
34,10,2,camioneta,particular,rural,si,bajo
55,11,2,auto,comercial,urbana,si,medio
41,12,0,auto,particular,suburbana,si,bajo
22,7,1,camioneta,particular,urbana,no,medio
69,17,1,camioneta,comercial,rural,no,medio
51,0,2,auto,comercial,urbana,no,medio
23,14,0,auto,comercial,rural,si,medio
39,7,3,auto,particular,rural,no,medio
28,10,3,camioneta,comercial,suburbana,si,medio
65,11,0,camioneta,comercial,suburbana,no,medio
33,11,3,moto,particular,rural,no,medio
50,3,0,auto,particular,suburbana,no,bajo
26,15,2,camioneta,comercial,urbana,si,medio
23,3,2,auto,particular,suburbana,si,bajo
33,4,1,camioneta,comercial,suburbana,no,medio
46,4,4,auto,comercial,urbana,si,medio
20,7,2,camioneta,particular,suburbana,si,bajo
37,9,2,moto,comercial,rural,si,bajo
53,16,2,moto,particular,urbana,si,bajo
36,8,1,auto,particular,rural,si,bajo
43,18,0,camioneta,particular,urbana,si,bajo
20,13,0,camioneta,comercial,rural,si,medio
36,7,2,auto,particular,rural,no,bajo
37,8,2,camioneta,particular,suburbana,si,bajo
49,10,4,auto,comercial,rural,si,medio
24,0,3,camioneta,comercial,suburbana,no,alto
69,13,2,auto,comercial,urbana,no,alto
58,4,0,camioneta,comercial,rural,no,medio
50,13,2,auto,particular,rural,no,bajo
57,3,1,camioneta,particular,urbana,si,bajo
56,0,1,moto,particular,urbana,no,medio
35,18,4,camioneta,comercial,rural,no,medio
57,7,2,auto,comercial,urbana,si,medio
18,14,1,moto,particular,suburbana,si,bajo
28,14,2,camioneta,comercial,urbana,si,medio
45,8,2,moto,comercial,urbana,no,medio
74,8,1,camioneta,particular,rural,si,bajo
42,9,1,moto,particular,suburbana,no,bajo
67,19,3,auto,comercial,urbana,si,alto
40,8,4,camioneta,comercial,suburbana,si,medio
48,2,1,camioneta,comercial,suburbana,no,medio
47,19,1,auto,particular,suburbana,si,bajo
59,10,0,moto,particular,rural,si,bajo
52,5,1,auto,particular,urbana,si,bajo
24,1,2,auto,particular,rural,si,bajo
33,6,2,moto,particular,urbana,si,bajo
43,17,0,auto,comercial,urbana,no,medio
65,1,0,camioneta,comercial,rural,no,medio
74,16,1,camioneta,comercial,suburbana,si,medio
69,10,5,camioneta,particular,suburbana,no,medio
66,11,3,auto,particular,urbana,no,alto
19,18,1,camioneta,particular,rural,no,medio
18,6,2,camioneta,comercial,suburbana,si,medio
65,19,1,camioneta,particular,suburbana,si,bajo
29,5,1,camioneta,particular,urbana,si,bajo
22,0,2,camioneta,comercial,urbana,no,alto
54,16,3,camioneta,particular,rural,no,medio
49,10,1,auto,comercial,urbana,si,medio
72,17,2,camioneta,particular,suburbana,si,bajo
26,16,2,camioneta,particular,suburbana,no,bajo
58,6,0,moto,comercial,suburbana,no,medio
52,16,2,auto,comercial,suburbana,si,bajo
36,19,1,auto,comercial,rural,no,medio
65,8,1,auto,comercial,rural,no,medio
33,16,1,auto,comercial,urbana,no,medio
20,19,1,camioneta,comercial,urbana,no,alto
37,7,0,camioneta,particular,urbana,no,medio
41,16,5,moto,particular,rural,no,medio
71,6,0,moto,comercial,suburbana,no,medio
73,0,1,auto,particular,urbana,si,medio
50,12,0,moto,comercial,suburbana,si,bajo
41,18,4,moto,particular,urbana,no,medio
69,18,2,auto,comercial,urbana,no,alto
28,16,0,auto,particular,urbana,no,medio
66,12,5,moto,particular,urbana,si,medio
25,15,1,camioneta,particular,urbana,si,bajo
53,7,2,moto,particular,suburbana,no,bajo
55,18,3,moto,particular,urbana,si,medio
57,17,2,camioneta,comercial,suburbana,no,medio
37,0,1,camioneta,comercial,rural,no,medio
52,13,1,auto,comercial,urbana,no,medio
65,18,4,auto,particular,suburbana,no,medio
42,14,1,moto,comercial,rural,no,medio
52,17,1,camioneta,particular,rural,no,bajo
42,1,1,auto,particular,rural,no,bajo
46,16,0,moto,particular,suburbana,si,bajo
35,17,2,camioneta,comercial,urbana,no,medio
63,5,1,moto,particular,urbana,si,bajo
35,18,1,auto,comercial,suburbana,no,medio
19,3,0,auto,comercial,urbana,no,alto
71,0,1,camioneta,particular,suburbana,si,bajo
52,7,0,moto,particular,urbana,si,bajo
33,6,0,camioneta,comercial,rural,no,medio
58,2,0,auto,comercial,urbana,si,medio
53,9,0,auto,comercial,suburbana,no,medio
50,9,2,moto,comercial,suburbana,no,medio
21,18,1,moto,comercial,rural,si,medio
50,13,2,moto,comercial,suburbana,si,bajo
31,1,1,camioneta,particular,urbana,si,bajo
38,0,1,moto,comercial,urbana,si,medio
65,17,4,moto,comercial,rural,no,medio
37,6,1,auto,comercial,suburbana,si,bajo
73,7,1,auto,comercial,rural,si,medio
25,0,3,moto,particular,urbana,si,medio
24,2,3,moto,particular,rural,si,medio
20,7,1,auto,comercial,suburbana,si,medio
34,14,1,moto,comercial,rural,no,medio
50,4,2,camioneta,comercial,suburbana,no,medio
65,2,1,camioneta,particular,suburbana,si,bajo
29,18,1,camioneta,particular,urbana,si,bajo
68,0,2,moto,particular,urbana,no,medio
39,14,0,auto,particular,urbana,si,bajo
72,7,3,moto,particular,suburbana,no,medio
39,1,1,moto,particular,rural,no,bajo
63,2,0,auto,comercial,suburbana,si,bajo
47,13,5,auto,particular,urbana,no,medio
55,13,1,auto,particular,urbana,si,bajo
55,10,1,camioneta,comercial,rural,si,bajo
62,15,0,moto,particular,urbana,no,medio
68,3,1,auto,comercial,urbana,no,alto
71,19,2,moto,particular,urbana,si,medio
25,4,0,camioneta,comercial,rural,no,medio
44,13,1,camioneta,comercial,suburbana,si,bajo
44,15,4,auto,comercial,urbana,no,alto
51,17,1,auto,comercial,rural,no,medio
38,6,2,moto,comercial,urbana,si,medio
47,9,4,auto,particular,rural,si,bajo
50,6,1,moto,particular,urbana,si,bajo
45,0,1,auto,comercial,rural,no,medio
64,18,2,moto,comercial,urbana,si,medio
50,15,0,moto,comercial,suburbana,si,bajo
22,18,1,moto,particular,urbana,no,medio
65,3,2,moto,comercial,rural,no,medio
36,17,0,camioneta,comercial,urbana,si,medio
21,1,2,moto,comercial,suburbana,si,medio
52,0,0,auto,comercial,urbana,si,medio
66,14,1,camioneta,particular,rural,si,bajo
34,4,2,camioneta,comercial,rural,no,medio
61,19,0,moto,comercial,suburbana,no,medio
45,10,3,camioneta,particular,rural,si,bajo
47,9,1,moto,comercial,urbana,si,medio
46,1,2,auto,comercial,urbana,si,medio
63,2,0,moto,particular,urbana,no,medio
70,11,0,camioneta,particular,rural,si,bajo
23,19,1,auto,particular,urbana,si,medio
52,4,0,moto,comercial,urbana,no,medio
58,4,2,auto,comercial,urbana,no,medio
54,5,1,auto,particular,suburbana,si,bajo
41,8,3,camioneta,particular,rural,si,bajo
46,1,4,auto,particular,rural,no,medio
66,11,1,camioneta,comercial,rural,si,medio
63,2,1,auto,comercial,suburbana,si,bajo
70,19,3,moto,particular,rural,no,medio
48,11,1,auto,comercial,suburbana,no,medio
52,16,1,moto,particular,suburbana,no,bajo
50,9,0,moto,comercial,rural,si,bajo
69,13,1,auto,comercial,urbana,no,alto
38,16,2,moto,comercial,urbana,no,medio
49,17,1,auto,comercial,rural,si,bajo
40,18,2,auto,particular,rural,si,bajo
50,16,3,moto,comercial,suburbana,no,medio
20,13,2,moto,comercial,rural,no,medio
35,8,1,camioneta,particular,suburbana,si,bajo
42,7,2,moto,comercial,rural,si,bajo
59,1,5,camioneta,particular,urbana,no,medio
48,12,1,moto,particular,urbana,no,medio
71,6,1,auto,comercial,rural,si,medio
20,8,2,moto,comercial,suburbana,no,medio
57,10,2,auto,particular,urbana,si,bajo
63,13,2,auto,particular,suburbana,no,bajo
41,3,1,auto,particular,rural,si,bajo
67,12,2,camioneta,comercial,rural,si,medio
49,1,4,moto,particular,urbana,no,medio
64,4,4,auto,particular,rural,no,medio
39,10,0,auto,particular,urbana,si,bajo
40,5,4,camioneta,comercial,suburbana,no,medio
19,17,2,moto,particular,urbana,no,medio
44,9,2,moto,comercial,urbana,no,medio
59,3,3,camioneta,comercial,suburbana,si,medio
19,8,0,camioneta,particular,urbana,no,medio
43,5,1,moto,comercial,urbana,no,medio
34,1,2,camioneta,particular,rural,si,bajo
57,16,1,moto,comercial,suburbana,no,medio
50,4,3,moto,comercial,urbana,no,alto
26,5,0,auto,particular,suburbana,si,bajo
60,11,3,auto,particular,suburbana,si,bajo
71,9,5,moto,particular,urbana,no,alto
65,5,0,moto,comercial,rural,no,medio
56,7,1,moto,comercial,suburbana,si,bajo
46,1,1,moto,particular,urbana,si,bajo
59,11,0,moto,particular,suburbana,no,bajo
72,12,1,moto,comercial,rural,no,medio
43,6,2,camioneta,comercial,rural,no,medio
52,9,2,moto,comercial,rural,si,bajo
67,12,0,camioneta,particular,urbana,no,medio
42,16,3,camioneta,comercial,urbana,si,medio
41,13,0,moto,particular,rural,si,bajo
30,1,1,moto,comercial,urbana,si,medio
24,10,1,camioneta,comercial,rural,no,medio
74,0,4,camioneta,particular,urbana,no,alto
53,18,1,moto,particular,rural,no,bajo
62,3,3,moto,particular,suburbana,si,bajo
37,18,1,camioneta,comercial,rural,no,medio
18,10,2,camioneta,comercial,rural,si,medio
25,7,2,camioneta,comercial,urbana,si,medio
63,10,1,auto,particular,urbana,si,bajo
33,3,4,camioneta,comercial,urbana,si,medio
31,16,0,auto,particular,urbana,si,bajo
29,6,1,moto,particular,urbana,si,bajo
68,7,1,moto,particular,urbana,no,medio
40,2,0,camioneta,comercial,suburbana,si,bajo
32,1,1,moto,comercial,rural,no,medio
45,14,2,moto,particular,rural,si,bajo
51,4,1,moto,comercial,rural,no,medio
19,0,1,moto,particular,suburbana,no,medio
49,3,0,auto,particular,rural,no,bajo
40,14,1,auto,comercial,suburbana,no,medio
39,19,1,camioneta,particular,suburbana,si,bajo
68,18,1,camioneta,particular,suburbana,si,bajo
42,2,1,camioneta,comercial,rural,si,bajo
39,19,2,moto,particular,suburbana,si,bajo
39,10,3,moto,particular,rural,no,medio
66,16,1,auto,particular,rural,no,medio
69,12,2,auto,particular,urbana,no,medio
59,10,2,camioneta,particular,urbana,si,bajo
23,1,0,auto,particular,suburbana,no,medio
32,8,6,auto,particular,suburbana,si,bajo
71,1,0,auto,comercial,rural,no,medio
60,8,2,auto,comercial,suburbana,no,medio
54,8,2,auto,particular,suburbana,no,bajo
50,7,1,camioneta,particular,rural,no,bajo
25,16,0,camioneta,comercial,suburbana,no,medio
70,0,1,auto,comercial,suburbana,si,medio
61,10,0,camioneta,comercial,rural,no,medio
61,7,4,moto,comercial,rural,si,medio
22,9,3,auto,comercial,urbana,si,alto
56,6,2,moto,particular,rural,si,bajo
21,2,0,camioneta,comercial,urbana,si,medio
23,2,2,camioneta,comercial,suburbana,si,medio
62,17,2,moto,comercial,rural,si,bajo
49,4,0,camioneta,particular,rural,si,bajo
69,11,2,auto,particular,rural,si,bajo
47,11,0,moto,particular,suburbana,no,bajo
64,18,0,auto,particular,urbana,no,medio
52,5,1,moto,particular,suburbana,si,bajo
72,1,1,camioneta,particular,suburbana,si,bajo
57,11,1,moto,comercial,rural,si,bajo
69,18,0,moto,particular,urbana,no,medio
33,4,0,auto,particular,suburbana,no,bajo
30,11,1,camioneta,comercial,rural,si,bajo
67,16,1,auto,particular,suburbana,si,bajo
59,16,1,camioneta,comercial,suburbana,no,medio
47,9,3,auto,comercial,rural,no,medio
36,16,2,moto,particular,rural,si,bajo
34,14,2,auto,comercial,urbana,si,medio
73,11,0,camioneta,comercial,suburbana,si,medio
36,15,2,camioneta,comercial,rural,si,bajo
45,18,1,moto,comercial,rural,no,medio
72,7,2,camioneta,particular,urbana,no,medio
43,16,1,auto,comercial,urbana,si,medio
54,4,0,moto,particular,rural,si,bajo
43,15,1,camioneta,comercial,urbana,si,medio
70,5,2,camioneta,comercial,rural,no,medio
40,7,4,auto,comercial,suburbana,si,medio
26,17,1,auto,particular,urbana,si,bajo
29,11,1,moto,particular,suburbana,si,bajo
70,14,2,camioneta,particular,suburbana,no,medio
18,8,0,auto,comercial,suburbana,si,medio
18,12,6,moto,comercial,rural,no,alto
64,14,1,camioneta,comercial,suburbana,si,bajo
51,9,0,camioneta,comercial,suburbana,si,bajo
49,15,0,moto,particular,suburbana,si,bajo
71,6,3,moto,comercial,rural,no,alto
65,16,2,auto,particular,suburbana,si,bajo
42,6,1,camioneta,comercial,suburbana,si,bajo
57,13,2,camioneta,particular,urbana,no,medio
62,14,3,camioneta,particular,rural,no,medio
70,6,0,moto,comercial,suburbana,no,medio
18,8,0,auto,comercial,urbana,si,medio
33,18,2,camioneta,particular,rural,no,bajo
56,15,2,moto,comercial,rural,si,bajo
22,7,2,camioneta,comercial,rural,no,medio
39,17,1,auto,particular,rural,no,bajo
46,17,2,camioneta,particular,rural,no,bajo
72,19,0,auto,particular,rural,si,bajo
20,6,0,auto,particular,suburbana,si,bajo
29,2,1,camioneta,comercial,suburbana,si,bajo
43,17,0,camioneta,particular,suburbana,si,bajo
33,9,4,auto,particular,suburbana,si,bajo
68,6,1,moto,particular,urbana,si,medio
54,16,5,auto,comercial,suburbana,si,medio
39,13,2,camioneta,particular,rural,si,bajo
74,2,2,camioneta,comercial,suburbana,si,medio
46,11,7,moto,particular,suburbana,no,medio
31,12,2,auto,particular,rural,no,bajo
45,1,2,auto,comercial,suburbana,si,bajo
22,2,2,auto,particular,suburbana,si,bajo
64,4,0,camioneta,particular,suburbana,si,bajo
66,10,0,auto,comercial,urbana,si,medio
47,7,2,moto,particular,suburbana,no,bajo
63,11,1,camioneta,particular,rural,no,bajo
69,6,2,camioneta,particular,rural,si,bajo
22,14,0,auto,particular,suburbana,no,medio
29,16,1,moto,comercial,suburbana,no,medio
33,3,2,camioneta,particular,suburbana,si,bajo
43,12,1,camioneta,comercial,rural,si,bajo
43,17,2,auto,particular,rural,si,bajo
65,0,2,auto,comercial,urbana,si,medio
38,15,4,moto,particular,urbana,no,medio
56,12,1,auto,comercial,urbana,si,medio
53,9,1,moto,particular,rural,no,bajo
50,11,1,camioneta,comercial,urbana,si,medio
47,1,0,moto,comercial,suburbana,no,medio
54,2,1,moto,particular,suburbana,si,bajo
40,9,1,moto,comercial,rural,si,bajo
27,1,0,camioneta,particular,urbana,no,medio
71,12,0,auto,particular,suburbana,no,medio
22,12,0,camioneta,particular,rural,no,medio
53,17,3,auto,particular,urbana,si,medio
51,2,2,moto,particular,suburbana,no,bajo
69,6,1,moto,comercial,urbana,no,alto
48,13,4,moto,particular,rural,no,medio
27,19,2,moto,particular,urbana,no,medio
36,16,0,moto,particular,rural,no,bajo
49,11,1,auto,particular,urbana,no,medio
18,15,2,auto,particular,suburbana,no,medio
73,11,0,moto,particular,rural,no,medio
22,14,0,camioneta,comercial,rural,no,medio
62,9,2,camioneta,comercial,rural,si,bajo
21,6,3,moto,particular,urbana,si,medio
33,19,2,auto,comercial,urbana,no,medio
41,4,2,camioneta,particular,suburbana,si,bajo
33,0,1,camioneta,particular,rural,si,bajo
72,16,0,camioneta,particular,rural,no,medio
19,2,1,moto,particular,urbana,no,medio
66,12,1,camioneta,particular,urbana,no,medio
45,13,0,camioneta,comercial,suburbana,no,medio
49,17,1,camioneta,comercial,suburbana,no,medio
44,3,1,camioneta,comercial,urbana,no,medio
37,17,1,auto,comercial,rural,si,bajo
41,4,2,moto,particular,suburbana,no,bajo
29,15,3,moto,comercial,urbana,si,medio
67,0,1,auto,particular,urbana,no,medio
52,13,2,auto,comercial,rural,no,medio
50,14,4,moto,comercial,urbana,si,medio
